City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-05-26 22:56:06,-33.0153,27.9116,290.86,83,95,3.23
68,Tiksi,RU,2021-05-26 22:56:09,71.6872,128.8694,274.77,93,60,1.36
69,Asau,RO,2021-05-26 22:56:10,46.4333,26.4,287.26,98,86,0.85
70,Leningradskiy,RU,2021-05-26 22:56:11,69.3833,178.4167,274.46,85,26,3.13
71,Massakory,TD,2021-05-26 22:56:12,12.996,15.7293,303.99,6,7,4.53
72,Victoria,HK,2021-05-26 22:54:03,22.2855,114.1577,304.24,88,79,2.24
73,Bobrovytsya,UA,2021-05-26 22:56:15,50.75,31.3833,289.08,92,100,1.94
74,Touros,BR,2021-05-26 22:53:10,-5.1989,-35.4608,298.65,78,21,6.57
75,Hilo,US,2021-05-26 22:53:04,19.7297,-155.09,299.7,78,39,2.24
76,Erzin,TR,2021-05-26 22:56:18,36.9559,36.2,293.71,59,0,0.82
77,Dingle,PH,2021-05-26 22:53:26,10.9995,122.6711,300.59,80,22,1.8
78,Taywarah,AF,2021-05-26 22:56:20,33.35,64.4167,285.3,22,0,1.7
79,Mitsamiouli,KM,2021-05-26 22:52:57,-11.3847,43.2844,298.72,67,20,6.55
80,Sao Joao Da Barra,BR,2021-05-26 22:56:23,-21.6403,-41.0511,295.46,84,50,4.13
81,Visby,SE,2021-05-26 22:56:24,57.6409,18.296,282.51,87,75,6.17
82,Jamestown,US,2021-05-26 22:56:25,42.097,-79.2353,292.76,79,96,1.34
83,Mar Del Plata,AR,2021-05-26 22:56:27,-38.0023,-57.5575,287.66,61,0,2.68
84,Provideniya,RU,2021-05-26 22:56:28,64.3833,-173.3,281.21,53,0,10.0
85,Atasu,KZ,2021-05-26 22:56:29,48.6814,71.6433,293.0,35,7,4.57
86,Caravelas,BR,2021-05-26 22:56:31,-17.7125,-39.2481,296.16,93,31,2.68
87,Tiptur,IN,2021-05-26 22:56:33,13.2586,76.4783,293.77,86,100,4.91
88,Slyudyanka,RU,2021-05-26 22:56:34,51.6594,103.7061,280.93,84,57,1.95
89,Toppenish,US,2021-05-26 22:56:36,46.3774,-120.3087,299.65,31,37,3.24
90,Tambun,ID,2021-05-26 22:56:38,-6.2641,107.0712,300.99,83,81,2.45
91,Zarand,IR,2021-05-26 22:56:39,30.8127,56.564,293.0,29,0,4.03
92,Maragogi,BR,2021-05-26 22:56:40,-9.0122,-35.2225,298.31,78,16,4.78
93,Hobart,AU,2021-05-26 22:56:42,-42.8794,147.3294,282.66,68,40,0.89
94,Tuktoyaktuk,CA,2021-05-26 22:56:44,69.4541,-133.0374,272.15,80,75,4.12
95,Toccoa,US,2021-05-26 22:56:45,34.5773,-83.3324,304.05,49,47,2.2
96,Yumen,CN,2021-05-26 22:53:52,40.2833,97.2,291.48,13,64,2.59
97,Dikson,RU,2021-05-26 22:56:47,73.5069,80.5464,270.32,96,100,6.18
98,Onguday,RU,2021-05-26 22:56:49,50.75,86.15,286.45,70,2,1.02
99,Kununurra,AU,2021-05-26 22:56:53,-15.7667,128.7333,298.14,50,68,5.66
100,Kapaa,US,2021-05-26 22:56:54,22.0752,-159.319,301.03,69,20,0.89
101,Westport,US,2021-05-26 22:56:56,41.1415,-73.3579,301.64,80,31,0.45
102,Cape Town,ZA,2021-05-26 22:56:57,-33.9258,18.4232,286.53,87,0,0.45
103,Salalah,OM,2021-05-26 22:56:58,17.0151,54.0924,298.96,80,10,1.52
104,Ambilobe,MG,2021-05-26 22:52:13,-13.2,49.05,293.01,92,1,1.16
105,Geraldton,AU,2021-05-26 22:57:01,-28.7667,114.6,284.38,58,43,5.89
106,Bluff,NZ,2021-05-26 22:56:35,-46.6,168.3333,283.04,73,95,6.24
107,Lavrentiya,RU,2021-05-26 22:57:03,65.5833,-171.0,276.26,73,2,5.87
108,Pudozh,RU,2021-05-26 22:57:05,61.8099,36.5345,277.31,95,100,4.73
109,Punta Arenas,CL,2021-05-26 22:55:14,-53.15,-70.9167,274.21,69,20,6.19
110,Norman Wells,CA,2021-05-26 22:57:08,65.282,-126.8329,287.17,41,75,8.75
111,Port Elizabeth,ZA,2021-05-26 22:57:10,-33.918,25.5701,284.32,93,0,1.54
112,Castro,BR,2021-05-26 22:57:11,-24.7911,-50.0119,287.63,62,90,0.61
113,Vodstroy,RU,2021-05-26 22:57:13,48.8416,44.5579,290.31,51,0,6.38
114,Flinders,AU,2021-05-26 22:57:14,-34.5833,150.8552,286.14,65,0,1.79
